M3 Nv,M3 Ne,G3 Nv,G3 Ne,Laplacian Determinant,Zero Eigenvalue Multiplicity,n - rank(Lap),M1 Edge,M2 Edge,M1 Vertex,M2 Vertex,Incidence Matrix Row Sum,Incidence Matrix Column Sum,Laplacian Matrix Row Sum,Laplacian Matrix Column Sum,Laplacian Eigenvalue 1,Laplacian Eigenvalue 2,Laplacian Eigenvalue 3,Laplacian Eigenvalue 4,Laplacian Eigenvalue 5,Laplacian Eigenvalue 6,Laplacian Eigenvalue 7,Laplacian Eigenvalue 8
8,10,7,5,14,0,0,6,1,4,7,-1,-1,5,5,0.357037596762463,0.730924944949315,1,1,1.63017205151138,2,3.30841704172295,4.9734483650539
8,10,8,6,14,0,0,6,1,4,8,-2,-2,8,8,0.253935194094271,0.579209334247199,0.999999999999999,1.36961333677454,1.69521980400014,2,4.08894118577319,5.01308114511066
8,10,8,8,14,0,0,6,2,3,8,0,0,6,6,0.186969464513497,0.495974259399942,0.749792629560177,1.35034125720066,1.68074970171028,3.73750828376429,4.38326937897884,5.41539502487231
8,10,8,8,14,0,0,6,2,3,9,-2,-2,2,2,0.186969464513497,0.495974259399942,0.749792629560177,1.35034125720066,1.68074970171028,3.73750828376429,4.38326937897884,5.41539502487231
8,10,8,6,14,0,0,6,2,4,8,-2,-2,4,4,0.301964311181612,0.548118319782654,1,1,1.72030613953684,2.49870271713575,3.95317896308159,4.97772954928154
8,10,8,6,14,0,0,6,2,4,9,-4,-4,8,8,0.301964311181612,0.548118319782654,1,1,1.72030613953684,2.49870271713575,3.95317896308159,4.97772954928154
8,10,7,7,14,0,0,6,3,3,7,1,1,7,7,0.196217052828407,0.71797164927889,0.999999999999999,1,1.48666645238333,2.84125867520503,4.35220011052755,5.4056860597768
8,10,8,8,14,0,0,6,3,3,9,-2,-2,2,2,0.170177547998169,0.523732759364279,0.772835090984431,1.44046210401396,1.65818153254166,3.45779940152579,4.46390065101718,5.51291091255454
8,10,7,5,14,0,0,6,3,4,7,-1,-1,5,5,0.357037596762464,0.730924944949315,1,1,1.63017205151137,2,3.30841704172295,4.9734483650539
8,10,8,6,14,0,0,6,3,4,9,-4,-4,8,8,0.253935194094271,0.579209334247199,0.999999999999999,1.36961333677454,1.69521980400014,2,4.08894118577319,5.01308114511066
8,10,8,7,9,0,0,6,4,3,7,1,1,3,3,0.122596254299963,0.697224362268006,1,1,1.52354796026921,3,4.30277563773199,5.35385578543083
8,10,8,9,9,0,0,6,4,3,10,1,1,5,5,0.0771021318815273,0.428681465506653,0.768080112328979,1.45402972119975,3,3.31884363132146,4.44857211140752,5.50469082635411
8,10,8,5,9,0,0,6,4,4,7,-1,-1,9,9,0.214566198039555,0.679415034833914,1,1,1.6875786473034,2.45865859389612,3,4.95978152592701
8,10,8,7,9,0,0,6,4,4,10,-1,-1,3,3,0.0980586991691507,0.553453780474465,1,1.46848747708757,1.8855492986083,3,3.98622161623426,5.00822912842626
8,10,7,5,8,0,0,7,1,4,7,-1,-1,9,9,0.198062264195162,0.527166091004744,1,1.53740157702523,1.55495813208737,2,3.24697960371747,4.93543233197003
8,10,8,6,8,0,0,7,1,4,8,-2,-2,4,4,0.139194146888296,0.527166091004744,1,1.53740157702523,1.74589831163495,2,4.11490754147676,4.93543233197003
8,10,7,8,8,0,0,7,1,5,7,0,0,2,2,0.0556660298444434,0.828405426951975,1,1.20628578016033,2,2.8494804494131,4.77264316581416,5.28751914781599
8,10,8,9,8,0,0,7,1,5,8,-1,-1,5,5,0.0514124272090945,0.479738851211507,1.07381357434656,1.64868763798374,2,3.50281654156795,4.8377991037249,5.40573186395624
8,10,8,6,8,0,0,7,2,4,8,-2,-2,8,8,0.172909084714798,0.527166091004744,0.661738787282284,1.53740157702523,2,2.20905692653531,3.95629520146761,4.93543233197003
8,10,8,6,8,0,0,7,2,4,9,-4,-4,4,4,0.172909084714798,0.527166091004744,0.661738787282284,1.53740157702523,2,2.20905692653531,3.95629520146761,4.93543233197003
8,10,8,9,8.00000000000001,0,0,7,2,5,8,-1,-1,1,1,0.0544674514792006,0.473529618690866,1,1.62569033135727,2,3.76249890566055,4.78511253892052,5.29870115389159
8,10,8,9,8.00000000000001,0,0,7,2,5,9,-3,-3,5,5,0.0544674514792006,0.473529618690866,1,1.62569033135727,2,3.76249890566055,4.78511253892052,5.29870115389159
8,10,7,5,8,0,0,7,3,4,7,-1,-1,9,9,0.198062264195162,0.527166091004744,1,1.53740157702523,1.55495813208737,2,3.24697960371747,4.93543233197003
8,10,8,6,8,0,0,7,3,4,9,-4,-4,4,4,0.139194146888296,0.527166091004744,1,1.53740157702523,1.74589831163495,2,4.11490754147676,4.93543233197003
8,10,7,8,8,0,0,7,3,5,7,0,0,2,2,0.0556660298444426,0.828405426951975,1,1.20628578016033,2,2.8494804494131,4.77264316581416,5.28751914781599
8,10,8,9,8,0,0,7,3,5,9,-3,-3,5,5,0.0514124272090945,0.479738851211507,1.07381357434656,1.64868763798374,2,3.50281654156795,4.8377991037249,5.40573186395624
8,10,8,5,0,1,1,7,4,4,7,-1,-1,5,5,0,0.527166091004744,1,1.53740157702523,2,2,3,4.93543233197003
8,10,8,7,0,1,1,7,4,4,10,-1,-1,7,7,-1.77528349562767e-16,0.527166091004744,1,1.53740157702523,2,3,4,4.93543233197003
8,10,8,8,5.32907051820075e-15,1,1,7,4,5,7,0,0,6,6,4.60015094598719e-16,0.76393202250021,1,1.26794919243112,2,3,4.73205080756888,5.23606797749979
8,10,8,10,0,1,1,7,4,5,10,0,0,0,0,5.40894499211808e-16,0.339769749911488,1.07632566353229,2,3,3.35619275164562,4.83189394494563,5.39581788996497
